slot,web_name,team,pos,multiplier,captain,vice,minutes,raw_points,effective_points,bps,bonus
1,Kinsky,Spurs,GKP,1,False,False,31,1,1,9,0
2,N.Williams,Nott'm Forest,DEF,1,False,False,0,0,0,0,0
3,Calafiori,Arsenal,DEF,1,False,False,0,0,0,0,0
4,Egan,Hull City,DEF,1,False,False,0,0,0,0,0
5,Gibbs-White,Nott'm Forest,MID,1,False,False,0,0,0,0,0
6,B.Fernandes,Man Utd,MID,1,False,True,0,0,0,0,0
7,Ødegaard,Arsenal,MID,1,False,False,0,0,0,0,0
8,Mbeumo,Man Utd,MID,1,False,False,0,0,0,0,0
9,João Pedro,Chelsea,FWD,1,False,False,0,0,0,0,0
10,Calvert-Lewin,Leeds,FWD,1,False,False,0,0,0,0,0
11,Haaland,Man City,FWD,3,True,False,0,0,0,0,0
12,Verbruggen,Brighton,GKP,0,False,False,0,0,0,0,0
13,Davis,Ipswich Town,DEF,0,False,False,0,0,0,0,0
14,Slater,Hull City,MID,0,False,False,0,0,0,0,0
15,Diop,Ipswich Town,DEF,0,False,False,0,0,0,0,0
